Frequency (Hz)	Voltage (mV)
62500	67.29
60500	63.94
58500	61.22
56500	57.21
54500	54.54
52500	51.79
50500	49.24
48500	46.68
46500	44.24
44500	41.85
42500	40.04
40500	37.84
38500	35.97
36500	33.75
34500	31.16
32500	29.19
30500	27.43
28500	25.95
26500	23.61
24500	21.81
22500	20.28
20500	18.7
18500	17.24
16500	15.64
14500	14.08
12500	12.09
10500	10.37
8500	8.55
6500	6.69
