*	OSC1_Ch1	OSC1_Ch2
0	4.99999009235899E-6	0
0.00100000000000477	4.9999850923764E-6	0
0.00200000000000955	4.99998009239881E-6	0
0.00300000000001432	4.99997509242622E-6	0
0.0040000000000191	4.99997009245863E-6	0
0.00500000000002387	4.99996509249604E-6	0
0.00600000000002865	4.99996009253844E-6	0
0.00700000000003342	4.99995509258584E-6	0
0.0080000000000382	4.99995009263825E-6	0
0.00900000000004297	4.99994509269566E-6	0
0.0100000000000477	4.99994009275807E-6	0
0.0110000000000525	4.99993509282548E-6	0
0.0120000000000573	4.99993009289788E-6	0
0.0130000000000621	4.99992509297528E-6	0
0.0140000000000668	4.9999200930577E-6	0
0.0150000000000716	4.9999150931451E-6	0
0.0160000000000764	4.99991009323751E-6	0
0.0170000000000812	4.99990509333491E-6	0
0.0180000000000859	4.99990009343734E-6	0
0.0190000000000907	4.99989509354473E-6	0
0.0200000000000955	4.99989009365714E-6	0
0.0210000000001003	4.99988509377454E-6	0
0.0213222769999675	3.94990556634527E-6	0
0.021322277199971	2.94988868945283E-6	0
0.0213223808000009	-5.00010624510524E-6	0
0.0213224832000094	-5.00010624445907E-6	0
0.0213226879999979	-5.00010624340493E-6	0
0.0213230976000034	-5.0001062413872E-6	0
0.0213239168000143	-5.00010623729339E-6	0
0.0213255552000078	-5.00010622911372E-6	0
0.0213288319999947	-5.00010621274281E-6	0
0.0213353855999969	-5.00010617997319E-6	0
0.0213484928000014	-5.00010611443842E-6	0
0.0213747072000103	-5.00010598336175E-6	0
0.0214271359999998	-5.00010572121242E-6	0
0.0215319936000071	-5.00010519691386E-6	0
0.0217417087999934	-5.00010414831703E-6	0
0.0221611391999943	-5.00010205112391E-6	0
0.0229999999999961	-5.0000978567403E-6	0
0.0240000000000009	-5.00009285664991E-6	0
0.0250000000000057	-5.00008785656458E-6	0
0.0260000000000105	-5.00008285648422E-6	0
0.0270000000000152	-5.00007785640887E-6	0
0.02800000000002	-5.0000728563385E-6	0
0.0290000000000248	-5.00006785627316E-6	0
0.0300000000000296	-5.00006285621279E-6	0
0.0310000000000343	-5.00005785615744E-6	0
0.0320000000000391	-5.00005285610708E-6	0
0.0330000000000439	-5.00004785606173E-6	0
0.0340000000000487	-5.00004285602137E-6	0
0.0350000000000534	-5.00003785598601E-6	0
0.0360000000000582	-5.00003285595566E-6	0
0.037000000000063	-5.0000278559303E-6	0
0.0380000000000678	-5.00002285590995E-6	0
0.0390000000000725	-5.00001785589459E-6	0
0.0400000000000773	-5.00001285588424E-6	0
0.0410000000000821	-5.00000785587889E-6	0
0.0420000000000869	-5.00000285587853E-6	0
0.0430000000000916	-4.99999785588317E-6	0
0.0440000000000964	-4.99999285589282E-6	0
0.0450000000001012	-4.99998785590746E-6	0
0.046000000000106	-4.9999828559271E-6	0
0.0463222769999732	-3.94997491373163E-6	0
0.0463222771999767	-2.94995805592205E-6	0
0.0463223808000066	5.00000848287019E-6	0
0.0463224832000151	5.00000848235521E-6	0
0.0463226880000036	5.00000848134269E-6	0
0.0463230976000091	5.00000847927988E-6	0
0.04632391680002	5.00000847519139E-6	0
0.0463255552000135	5.00000846699953E-6	0
0.0463288320000004	5.00000845061443E-6	0
0.0463353856000026	5.00000841784656E-6	0
0.0463484928000071	5.00000835231067E-6	0
0.046374707200016	5.00000822123858E-6	0
0.0464271360000055	5.00000795909431E-6	0
0.0465319936000128	5.00000743480605E-6	0
0.0467417087999991	5.00000638622968E-6	0
0.0471611392	5.00000428907753E-6	0
0.0480000000000018	5.00000009477589E-6	0
0.0490000000000066	4.9999950947833E-6	0
0.0500000000000114	4.9999900947957E-6	0
0.0510000000000161	4.99998509481311E-6	0
0.0520000000000209	4.99998009483551E-6	0
0.0530000000000257	4.99997509486292E-6	0
0.0540000000000305	4.99997009489532E-6	0
0.0550000000000352	4.99996509493273E-6	0
0.05600000000004	4.99996009497513E-6	0
0.0570000000000448	4.99995509502254E-6	0
0.0580000000000496	4.99995009507494E-6	0
0.0590000000000543	4.99994509513235E-6	0
0.0600000000000591	4.99994009519474E-6	0
