*Input voltage 	VM1[1]
0	5.99999999991597
0.06	5.99999999991494
0.12	5.99999999990161
0.18	5.99999999976353
0.24	5.99999999835999
0.3	5.99999998412553
0.36	5.99999984001226
0.42	5.99999839178061
0.48	5.99998433815705
0.54	5.99986697390476
0.6	5.99923923093565
0.66	5.99751330993167
0.72	5.99463543897764
0.78	5.9908849781709
0.84	5.98651082167054
0.9	5.98168084881324
0.96	5.97650646814991
1.02	5.97106415273405
1.08	5.96540850480023
1.14	5.95957992180921
1.2	5.95360920547884
1.26	5.94752043919016
1.32	5.94133285306002
1.38	5.93506207518039
1.44	5.92872099716924
1.5	5.92232038931733
1.56	5.91586934830277
1.62	5.90937562996067
1.68	5.90284590126638
1.74	5.89628593432968
1.8	5.88970075797348
1.86	5.88309477775298
1.92	5.87647187213316
1.98	5.86983547039865
2.04	5.86318861639103
2.1	5.85653402112069
2.16	5.84987410769782
2.22	5.84321104295231
2.28	5.83654677697121
2.34	5.82988306305516
2.4	5.82322148204169
2.46	5.81656346165614
2.52	5.80991029322518
2.58	5.80326314618148
2.64	5.79662308070988
2.7	5.78999105881135
2.76	5.78336795402758
2.82	5.77675456001237
2.88	5.77015159811661
2.94	5.76355972411895
3	5.7569795342167
3.06	5.75041157037287
3.12	5.74385632510327
3.18	5.73731424576864
3.24	5.73078573843539
3.3	5.72427117135615
3.36	5.71777087811086
3.42	5.71128516045246
3.48	5.7048142908825
3.54	5.69835851499438
3.6	5.69191805360311
3.66	5.68549310468627
3.72	5.67908384515613
3.78	5.67269043247793
3.84	5.66631300615345
3.9	5.65995168907701
3.96	5.65360658878364
4.02	5.64727779859289
4.08	5.64096539866187
4.14	5.63466945695551
4.2	5.62839003014005
4.26	5.62212716440748
4.32	5.61588089623673
4.38	5.60965125309961
4.44	5.60343825410877
4.5	5.59724191062404
4.56	5.59106222680936
4.62	5.58489920015196
4.68	5.57875282194243
4.74	5.57262307772233
4.8	5.56650994770032
4.86	5.56041340713542
4.92	5.55433342669904
4.98	5.54826997280672
5.04	5.54222300793308
5.1	5.53619249089839
5.16	5.53017837714341
5.22	5.52418061897721
5.27999999999999	5.51819916581708
5.33999999999999	5.51223396440666
5.39999999999999	5.50628495902214
5.45999999999999	5.50035209166361
5.51999999999999	5.49443530223551
5.57999999999999	5.4885345287143
5.63999999999999	5.48264970730474
5.69999999999999	5.47678077258852
5.75999999999999	5.47092765765988
5.81999999999999	5.46509029425652
5.87999999999999	5.45926861287701
5.93999999999999	5.45346254289728
5.99999999999999	5.44767201267385
 
*Input voltage 	VM1[2]
0	5.99999999915968
0.06	5.99999999914943
0.12	5.99999999901605
0.18	5.99999999763532
0.24	5.99999998359989
0.3	5.99999984125531
0.36	5.99999840012264
0.42	5.99998391780994
0.48	5.99984338193087
0.54	5.9986697651111
0.6	5.99239316319435
0.66	5.97514222677428
0.72	5.94639686745651
0.78	5.90897237841333
0.84	5.86537659097864
0.9	5.81730319132678
0.96	5.76587781935909
1.02	5.71187420745386
1.08	5.65584543817121
1.14	5.5982010482097
1.2	5.53925344019364
1.26	5.47924689361348
1.32	5.4183763936735
1.38	5.35680028033873
1.44	5.29464901061081
1.5	5.2320313947894
1.56	5.1690391419233
1.62	5.10575024323826
1.68	5.04223153792976
1.74	4.9785406913873
1.8	4.91472774312437
1.86	4.85083633416656
1.92	4.78690469199348
1.98	4.7229664294827
2.04	4.6590511993586
2.1	4.59518523508452
2.16	4.53139181147163
2.22	4.46769157823327
2.28	4.40410295578092
2.34	4.34064234962988
2.4	4.27732439957937
2.46	4.21416217984269
2.52	4.15116737201858
2.58	4.08835041531002
2.64	4.02572063753543
2.7	3.96328636982182
2.76	3.90105504742514
2.82	3.83903329861826
2.88	3.77722702336851
2.94	3.71564146313248
3	3.65428126298009
3.06	3.59315052703957
3.12	3.53225286809734
3.18	3.47159145206973
3.24	3.41116903798405
3.3	3.35098801395683
3.36	3.29105042970409
3.42	3.23135802589564
3.48	3.17191226075714
3.54	3.11271433420303
3.6	3.05376520976015
3.66	2.99506563451227
3.72	2.93661615728275
3.78	2.87841714524167
3.84	2.82046879902189
3.9	2.76277116661368
3.96	2.70532415605133
4.02	2.6481275470391
4.08	2.59118100163483
4.14	2.53448407406645
4.2	2.47803621973572
4.26	2.42183680352014
4.32	2.36588510741156
4.38	2.31018033755941
4.44	2.25472163076338
4.5	2.19950806045451
4.56	2.14453864224089
4.62	2.08981233902305
4.68	2.03532806570455
4.74	1.98108469357089
4.8	1.92708105433031
4.86	1.87331594387767
4.92	1.81978812573396
4.98	1.76649633427266
5.04	1.71343927770306
5.1	1.6606156408354
5.16	1.60802408760915
5.22	1.55566326350021
5.27999999999999	1.50353179771732
5.33999999999999	1.45162830523362
5.39999999999999	1.3999513886901
5.45999999999999	1.34849964015658
5.51999999999999	1.29727164275712
5.57999999999999	1.24626597220071
5.63999999999999	1.19548119815711
5.69999999999999	1.14491588560116
5.75999999999999	1.0945685959846
5.81999999999999	1.04443788840024
5.87999999999999	0.994522320562164
5.93999999999999	0.94482045004616
5.99999999999999	0.895330834845448
 
*Input voltage 	VM1[3]
0	5.99999999159755
0.06	5.99999999149499
0.12	5.99999999016125
0.18	5.99999997635394
0.24	5.99999983599976
0.3	5.99999841255362
0.36	5.9999840012309
0.42	5.99983917847892
0.48	5.99843385534518
0.54	5.98670025690241
0.6	5.92401691050775
0.66	5.75233134663886
0.72	5.46817980538791
0.78	5.1018048933638
0.84	4.68002893516822
0.9	4.2210752788955
0.96	3.73710831895924
1.02	3.23648601704991
1.08	2.72514403606286
1.14	2.20741950616581
1.2	1.68655388893391
1.26	1.1650119323945
1.32	0.644691978139723
1.38	0.203622227220116
1.44	0.150267170304037
1.5	0.13284624091043
1.56	0.122409726056701
1.62	0.114986658038973
1.68	0.109243503594616
1.74	0.104571318078212
1.8	0.10064105190662
1.86	0.0972548756553187
1.92	0.0942846272354242
1.98	0.0916425554756896
2.04	0.0892659580241614
2.1	0.0871084830865592
2.16	0.0851349037369957
2.22	0.0833178245676665
2.28	0.0816355224989226
2.34	0.0800704833834876
2.4	0.0786083817138784
2.46	0.0772373145569793
2.52	0.075947425483769
2.58	0.0747302620387161
2.64	0.0735786515550464
2.7	0.0724864245666748
2.76	0.0714482363230788
2.82	0.0704594262810389
2.88	0.0695159062791766
2.94	0.0686140706475576
3	0.0677507232860994
3.06	0.0669230180093657
3.12	0.0661284093641986
3.18	0.0653646117895934
3.24	0.0646295654772663
3.3	0.0639214076558864
3.36	0.0632384482974147
3.42	0.0625791494528843
3.48	0.0619421075862156
3.54	0.0613260383989217
3.6	0.0607297637360281
3.66	0.0601522002399321
3.72	0.059592349479578
3.78	0.0590492893307172
3.84	0.0585221664216593
3.9	0.0580101894904938
3.96	0.0575126235247484
4.02	0.0570287845757438
4.08	0.056558035156319
4.14	0.0560997801451459
4.2	0.0556534631320005
