*Input voltage 	VM1[1]
5.1	0.0122355331913002
5.16	0.0121637663129475
5.22	0.0120938186614557
5.27999999999999	0.0120256247419219
5.33999999999999	0.0119591221719935
5.39999999999999	0.0118942514986608
5.45999999999999	0.0118309560278715
5.51999999999999	0.0117691816659399
5.57999999999999	0.0117088767717915
5.63999999999999	0.0116499920192058
5.69999999999999	0.0115924802682546
5.75999999999999	0.0115362964452443
5.81999999999999	0.0114813974304938
5.87999999999999	0.0114277419533747
5.93999999999999	0.0113752904940492
5.99999999999999	0.0113240051914344
 
