*Input voltage 	no_label_0
-10	-1.01079979204252E-9
-9.8	-1.01058375849192E-9
-9.6	-1.01036772251165E-9
-9.4	-1.01015168383774E-9
-9.2	-1.00993564217103E-9
-9	-1.0097195971716E-9
-8.8	-1.00950354845212E-9
-8.60000000000001	-1.00928749556996E-9
-8.40000000000001	-1.00907143801777E-9
-8.20000000000001	-1.00885537521213E-9
-8.00000000000001	-1.00863930647995E-9
-7.80000000000001	-1.00842323104191E-9
-7.60000000000001	-1.00820714799244E-9
-7.40000000000001	-1.00799105627516E-9
-7.20000000000001	-1.00777495465277E-9
-7.00000000000001	-1.00755884166978E-9
-6.80000000000001	-1.00734271560638E-9
-6.60000000000001	-1.0071265744206E-9
-6.40000000000001	-1.00691041567569E-9
-6.20000000000001	-1.00669423644813E-9
-6.00000000000001	-1.0064780332103E-9
-5.80000000000001	-1.00626180167966E-9
-5.60000000000001	-1.00604553662338E-9
-5.4	-1.00582923160292E-9
-5.2	-1.00561287863706E-9
-5	-1.00539646775289E-9
-4.8	-1.00517998638091E-9
-4.6	-1.00496341853087E-9
-4.4	-1.00474674365446E-9
-4.2	-1.00452993505451E-9
-4	-1.00431295762668E-9
-3.8	-1.00409576460134E-9
-3.6	-1.00387829275856E-9
-3.4	-1.00366045526194E-9
-3.2	-1.00344213069064E-9
-3	-1.00322314584143E-9
-2.8	-1.00300324801956E-9
-2.6	-1.00278205900186E-9
-2.4	-1.00255899582434E-9
-2.2	-1.0023331288828E-9
-2	-1.00210291552766E-9
-1.8	-1.00186567144455E-9
-1.6	-1.00161644975313E-9
-1.4	-1.00134546321622E-9
-1.2	-1.00116794464542E-9
-1	-1.00090716982756E-9
-0.800000000000002	-1.00056247238818E-9
-0.600000000000002	-1.00006671139154E-9
-0.400000000000002	-9.98633525901228E-10
-0.200000000000002	-9.85930209008113E-10
-2.05391259555654E-15	-5.08358588044326E-20
0.199999999999998	9.34103215465804E-8
0.399999999999998	8.18214571543925E-6
0.599999999999998	0.000157217121220435
0.799999999999998	0.000478602712444426
0.999999999999998	0.000850360780984274
1.2	0.00124056066661399
1.4	0.00163997883870244
1.6	0.00204486701945269
1.8	0.00245335913548613
2	0.00286439819755298
2.2	0.00327732973703034
2.4	0.00369172131233964
2.6	0.00410727267945252
2.8	0.00452376709073174
3	0.00494104306979406
3.2	0.00535897715200865
3.4	0.00577747286069185
3.6	0.00619645339745542
3.8	0.0066158566474223
4	0.00703563166953291
4.2	0.00745573617513544
4.4	0.0078761346782944
4.6	0.00829679711445108
4.8	0.00871769779216362
5	0.00913881458578428
5.2	0.00956012830705331
5.4	0.00998162216541136
5.6	0.0104032815446659
5.8	0.0108250934155165
6	0.0112470462642729
6.2	0.0116691298310113
6.4	0.0120913349336472
6.6	0.012513653320864
6.8	0.0129360775546743
7	0.0133586009044215
7.2	0.0137812172584252
7.4	0.0142039210550725
7.6	0.0146267072121865
7.8	0.0150495710813038
8	0.0154725083942866
8.2	0.0158955152239409
8.4	0.0163185879503215
8.6	0.0167417232279117
8.8	0.0171649179610429
9	0.0175881692751287
9.2	0.0180114745013473
9.4	0.0184348311511052
9.6	0.018858236909729
9.79999999999999	0.019281689608878
9.99999999999999	0.0197051872277937
 
