*Input voltage 	A2	A1
0	-4.33992490037408E-35	2.177549571113E-35
0.05	1.44631200434438E-12	1.28404231691803E-13
0.1	6.69468142641354E-12	7.19466153320525E-13
0.15	2.57457318513734E-11	4.50320336575771E-12
0.2	9.49222115143216E-11	3.03072289487005E-11
0.25	3.46185048755693E-10	2.07844796928924E-10
0.3	1.25836831367931E-9	1.42751938048136E-9
0.35	4.55423157247735E-9	9.72117675246409E-9
0.4	1.62017928802895E-8	6.40866614776137E-8
0.45	5.4217401613905E-8	3.81208643707165E-7
0.5	1.55258688996967E-7	1.77337759754703E-6
0.55	3.49901034166924E-7	5.72642927176847E-6
0.6	6.30224452094726E-7	1.32378522126331E-5
0.65	9.69795813262175E-7	2.42869553490621E-5
0.7	1.34737660044619E-6	3.84172720170328E-5
0.75	1.74982387032845E-6	5.51495775067412E-5
0.8	2.16926972041729E-6	7.40882722242153E-5
0.85	2.60085939312876E-6	9.49233993774445E-5
0.9	3.04146388585094E-6	0.000117412747231649
0.95	3.48897888729679E-6	0.000141364711685243
1	3.94193480054891E-6	0.000166625274644394
1.05	4.39927132839377E-6	0.000193068620730319
1.1	4.86020181765635E-6	0.000220590424416578
1.15	5.32412846689209E-6	0.000249103005856011
1.2	5.79058747928793E-6	0.000278531784947189
1.25	6.25921248565676E-6	0.000308812644085332
1.3	6.7297094816986E-6	0.000339889935432103
1.35	7.2018392367072E-6	0.000371714952284163
1.4	7.67540467903715E-6	0.000404244739832693
1.45	8.15024167546343E-6	0.000437441157847163
1.5	8.62621217446956E-6	0.00047127013305226
1.55	9.10319902782822E-6	0.000505701056221275
1.6	9.5811020244658E-6	0.000540706291058513
1.65	1.0059834813872E-5	0.000576260770428938
1.7	1.05393224916524E-5	0.000612341661562876
1.75	1.10194996844636E-5	0.000648928086267597
1.8	1.15003090161376E-5	0.000686000885391946
1.85	1.19816998680096E-5	0.000723542419239331
1.9	1.24636273686643E-5	0.000761536397354323
1.95	1.29460514730993E-5	0.000799967661998302
2	1.34289366534626E-5	0.00083882235183963
2.05	1.39122507417232E-5	0.000878087346260159
2.1	1.43959648568297E-5	0.00091775047699949
2.15	1.48800528953028E-5	0.000957800365859463
2.2	1.53644911893534E-5	0.000998226351700104
2.25	1.58492582156871E-5	0.00103901842607756
2.3	1.63343343462902E-5	0.00108016717626835
2.35	1.68197016341668E-5	0.00112166373467248
2.4	1.73053436283402E-5	0.00116349973372731
2.45	1.77912452134661E-5	0.00120566726561711
2.5	1.82773924702554E-5	0.00124815884613394
2.55	1.8763772553557E-5	0.00129096738220547
2.6	1.92503735854985E-5	0.00133408614262454
2.65	1.9737184561523E-5	0.00137750873158149
2.7	2.02241952674952E-5	0.00142122906471442
2.75	2.07113962063667E-5	0.00146524134733417
2.8	2.11987785331024E-5	0.0015095400546361
2.85	2.1686333996788E-5	0.00155411991363952
2.9	2.21740548889892E-5	0.00159897588669455
2.95	2.26619339975713E-5	0.00164410315638142
3	2.3149964565308E-5	0.00168949711164856
3.05	2.36381402526916E-5	0.00173515333510199
3.1	2.41264551044501E-5	0.00178106759128704
3.15	2.46149035193362E-5	0.00182723581589439
3.2	2.51034802228154E-5	0.00187365410578089
3.25	2.55921802423202E-5	0.00192031870977072
3.3	2.60809988847978E-5	0.00196722602010269
3.35	2.6569931716292E-5	0.00201437256453474
3.4	2.70589745433502E-5	0.00206175499897165
3.45	2.754812339606E-5	0.00210937010064249
3.5	2.80373745125461E-5	0.00215721476175235
3.55	2.85267243247865E-5	0.00220528598352576
3.6	2.90161694456067E-5	0.00225358087069694
3.64999999999999	2.95057066567471E-5	0.00230209662631653
3.69999999999999	2.99953328978875E-5	0.00235083054695284
3.74999999999999	3.04850452565512E-5	0.00239978001812169
3.79999999999999	3.09748409587947E-5	0.00244894251007999
3.84999999999999	3.14647173606179E-5	0.00249831557382629
3.89999999999999	3.19546719400278E-5	0.00254789683736556
3.94999999999999	3.24447022896933E-5	0.00259768400220128
3.99999999999999	3.29348061101443E-5	0.00264767484002926
4.04999999999999	3.34249812034656E-5	0.00269786718962184
4.09999999999999	3.39152254674426E-5	0.00274825895389075
4.14999999999999	3.44055368901194E-5	0.00279884809713504
4.19999999999999	3.48959135447392E-5	0.0028496326424241
4.24999999999999	3.53863535850319E-5	0.00290061066911385
4.29999999999999	3.58768552408215E-5	0.00295178031052501
4.34999999999999	3.63674168139263E-5	0.00300313975175381
4.39999999999999	3.68580366743339E-5	0.00305468722755542
4.44999999999999	3.73487132566221E-5	0.00310642102037928
4.49999999999999	3.78394450566151E-5	0.00315833945846578
4.54999999999999	3.83302306282463E-5	0.00321044091411071
4.59999999999999	3.88210685806239E-5	0.00326272380193693
4.64999999999999	3.93119575752775E-5	0.00331518657729291
4.69999999999999	3.98028963235713E-5	0.0033678277347331
4.74999999999999	4.0293883584277E-5	0.00342064580655865
4.79999999999999	4.07849181612904E-5	0.0034736393614434
4.84999999999999	4.12759989014844E-5	0.00352680700309627
4.89999999999999	4.17671246926862E-5	0.00358014736904266
4.94999999999999	4.22582944617739E-5	0.00363365912937486
4.99999999999999	4.27495071728794E-5	0.00368734098566303
 
