*	OSC1_Ch1	OSC1_Ch2
0	-0.516673299045958	0
0.000249999999999417	-0.531961260404797	0
0.000499999999998835	-0.534150570054326	0
0.000749999999998252	-0.523187319925073	0
0.000999999999997669	-0.499341461620158	0
0.00124999999999709	-0.463200159310915	0
0.0014999999999965	-0.415653331806296	0
0.00174999999999592	-0.357871739798335	0
0.00199999999999534	-0.291278157848369	0
0.00224999999999476	-0.217512340955427	0
0.00249999999999417	-0.138390648346115	0
0.00274999999999359	-0.0558613186823073	0
0.00299999999999301	0.0280435020405397	0
0.00324999999999243	0.111257798672104	0
0.00349999999999184	0.191732559056911	0
0.00374999999999126	0.267486227513875	0
0.00399999999999068	0.336653497313587	0
0.00424999999999009	0.397531240720576	0
0.00449999999998951	0.448620445650522	0
0.00474999999998893	0.48866312632282	0
0.00499999999998835	0.516673299045033	0
0.00524999999998776	0.531961260404451	0
0.00549999999998718	0.534150570054571	0
0.0057499999999866	0.523187319925906	0
0.00599999999998602	0.499341461621563	0
0.00624999999998543	0.463200159312858	0
0.00649999999998485	0.415653331808732	0
0.00674999999998427	0.357871739801204	0
0.00699999999998369	0.291278157851603	0
0.0072499999999831	0.217512340958946	0
0.00749999999998252	0.138390648349834	0
0.00774999999998194	0.0558613186861352	0
0.00799999999998136	-0.0280435020366968	0
0.00824999999998077	-0.111257798668341	0
0.00849999999998019	-0.191732559053319	0
0.00874999999997961	-0.267486227510545	0
0.00899999999997902	-0.336653497310599	0
0.00924999999997844	-0.397531240718003	0
0.00949999999997786	-0.448620445648428	0
0.00974999999997728	-0.488663126321142	0
0.00999999999997669	-0.51667329904395	0
0.0102499999999761	-0.531961260403986	0
0.0104999999999755	-0.534150570054733	0
0.0107499999999749	-0.523187319926687	0
0.0109999999999744	-0.499341461622941	0
0.0112499999999738	-0.463200159314796	0
0.0114999999999732	-0.415653331811181	0
0.0117499999999726	-0.357871739804103	0
0.011999999999972	-0.291278157854878	0
0.0122499999999715	-0.217512340962517	0
0.0124999999999709	-0.138390648353611	0
0.0127499999999703	-0.0558613186900259	0
0.0129999999999697	0.0280435020327894	0
0.0132499999999691	0.111257798664513	0
0.0134999999999685	0.191732559049665	0
0.013749999999968	0.267486227507155	0
0.0139999999999674	0.336653497307556	0
0.0142499999999668	0.397531240715383	0
0.0144999999999662	0.448620445646296	0
0.0147499999999656	0.488663126319663	0
0.014999999999965	0.516673299043025	0
0.0152499999999645	0.53196126040364	0
0.0154999999999639	0.534150570054978	0
0.0157499999999633	0.52318731992752	0
0.0159999999999627	0.499341461624345	0
0.0162499999999621	0.463200159316739	0
0.0164999999999615	0.415653331813616	0
0.016749999999961	0.357871739806972	0
0.0169999999999604	0.291278157858112	0
0.0172499999999598	0.217512340966037	0
0.0174999999999592	0.13839064835733	0
0.0177499999999586	0.0558613186938537	0
0.017999999999958	-0.0280435020289468	0
0.0182499999999575	-0.11125779866075	0
0.0184999999999569	-0.191732559046074	0
0.0187499999999563	-0.267486227503824	0
0.0189999999999557	-0.336653497304567	0
0.0192499999999551	-0.39753124071281	0
0.0194999999999546	-0.448620445644202	0
0.019749999999954	-0.488663126317986	0
0.0199999999999534	-0.516673299041942	0
0.0202499999999528	-0.531961260403176	0
