Frequency 	SA2
1	-44.0365740820426
1.14815362149688	-42.8366286454876
1.31825673855641	-41.6367005730692
1.51356124843621	-40.4367953902681
1.73780082874938	-39.2369203805163
1.99526231496888	-38.0370851442569
2.29086765276777	-36.8373023356171
2.63026799189538	-35.6375886329951
3.01995172040202	-34.4379660176061
3.46736850452532	-33.2384634573089
3.98107170553497	-32.0391191234993
4.57088189614875	-30.8399833086446
5.24807460249773	-29.6411222638382
6.02559586074358	-28.4426232429266
6.91830970918936	-27.2446011263787
7.94328234724281	-26.0472071089143
9.1201083935591	-24.8506400752816
10.471285480509	-23.6551614637531
12.0226443461741	-22.4611146309555
13.8038426460288	-21.2689499850797
15.8489319246111	-20.0792574400453
18.1970085860998	-18.8928080382845
20.8929613085404	-17.710606844353
23.9883291901949	-16.5339593285758
27.5422870333817	-15.3645532672213
31.6227766016838	-14.2045573991168
36.3078054770101	-13.0567362636218
41.6869383470335	-11.9245771994989
47.8630092322638	-10.8124196962637
54.9540873857625	-9.72556856678706
63.0957344480193	-8.67036082316891
72.443596007499	-7.65414338629209
83.176377110267	-6.68510941150211
95.4992586021435	-5.77194323080458
109.647819614319	-4.92324793220411
125.892541179417	-4.1467819876434
144.543977074593	-3.44860545696313
165.958690743756	-2.83230527180427
190.546071796325	-2.29849252862896
218.776162394955	-1.84471358756647
251.188643150958	-1.46580129006426
288.40315031266	-1.15456447557989
331.131121482591	-0.902633605156308
380.189396320561	-0.701276110844717
436.515832240166	-0.54205102101546
501.187233627272	-0.417248819273
575.439937337156	-0.320125296436022
660.693448007596	-0.244973071018647
758.577575029183	-0.187084062589127
870.96358995608	-0.142650250651124
1000	-0.108637898643217
1148.15362149688	-0.082658042745618
1318.25673855641	-0.0628461212838399
1513.56124843621	-0.0477567264826306
1737.80082874938	-0.0362751780862818
1995.26231496888	-0.0275452415132152
2290.86765276777	-0.0209111826745636
2630.26799189538	-0.0158719663684289
3019.95172040202	-0.0120454260045391
3467.36850452532	-0.00914044778415723
3981.07170553497	-0.00693549963886741
4570.88189614874	-0.00526212840724297
5248.07460249773	-0.00399231631440787
6025.59586074357	-0.00302881763246338
6918.30970918935	-0.00229778653522353
7943.28234724282	-0.00174316065009741
9120.10839355909	-0.00132238664195694
10471.285480509	-0.00100316972077136
12022.6443461741	-0.000761003271655998
13803.8426460288	-0.000577292226613617
15848.9319246112	-0.000437927963941403
18197.0085860998	-0.000332206376457605
20892.9613085404	-0.000252006634340199
23988.3291901949	-0.000191167920576283
27542.2870333816	-0.00014501646814541
31622.7766016838	-0.000110006684145348
36307.8054770101	-8.34488588476966E-5
41686.9383470335	-6.33025798099644E-5
47863.0092322638	-4.8020001974136E-5
54954.0873857625	-3.64269452690624E-5
63095.7344480193	-2.76326917859179E-5
72443.5960074989	-2.09615564254569E-5
83176.377110267	-1.59009759070078E-5
95499.2586021434	-1.20621290747986E-5
109647.819614319	-9.15006369111472E-6
125892.541179417	-6.94103489056754E-6
144543.977074593	-5.26531443180732E-6
165958.690743756	-3.99415003721738E-6
190546.071796325	-3.02987298636552E-6
218776.162394955	-2.29839389715346E-6
251188.643150958	-1.74351017862939E-6
288403.15031266	-1.32258778915196E-6
331131.12148259	-1.00328547371456E-6
380189.396320561	-7.61069884390279E-7
436515.832240166	-5.77330558950604E-7
501187.233627273	-4.37950022363204E-7
575439.937337156	-3.32219070331118E-7
660693.448007596	-2.5201393872474E-7
758577.575029182	-1.9117212577559E-7
870963.58995608	-1.4501888677469E-7
1000000	-1.10008075941314E-7
