Frequency 	SA2
1	89.6400047372979
1.14815362149688	89.5866718663976
1.31825673855641	89.5254384264526
1.51356124843621	89.4551343760183
1.73780082874938	89.3744165621536
1.99526231496888	89.2817431936492
2.29086765276777	89.1753445941213
2.63026799189538	89.0531897154858
3.01995172040202	88.9129478315844
3.46736850452532	88.7519447702724
3.98107170553497	88.5671129842127
4.57088189614875	88.3549347127728
5.24807460249773	88.1113774608091
6.02559586074358	87.8318210320904
6.91830970918936	87.51097543252
7.94328234724281	87.1427891422044
9.1201083935591	86.7203476076532
10.471285480509	86.2357624180617
12.0226443461741	85.6800526377777
13.8038426460288	85.0430213651861
15.8489319246111	84.3131330499896
18.1970085860998	83.4774007984929
20.8929613085404	82.521298311927
23.9883291901949	81.4287188106158
27.5422870333817	80.1820138807695
31.6227766016838	78.7621590153758
36.3078054770101	77.1491094066887
41.6869383470335	75.3224274562528
47.8630092322638	73.2622777735186
54.9540873857625	70.950886728684
63.0957344480193	68.3745363376084
72.443596007499	65.5260854348131
83.176377110267	62.40786505444
95.4992586021435	59.0345777698337
109.647819614319	55.4355838743472
125.892541179417	51.6557858284049
144.543977074593	47.7543782594477
165.958690743756	43.8011295393082
190.546071796325	39.8705567577754
218.776162394955	36.0350819220051
251.188643150958	32.3586430361323
288.40315031266	28.8920588882372
331.131121482591	25.6708124946194
380.189396320561	22.715168086273
436.515832240166	20.0320027810799
501.187233627272	17.6175507159966
575.439937337156	15.4603580288403
660.693448007596	13.5439803865884
758.577575029183	11.8491918706834
870.96358995608	10.3556496458578
1000	9.04306107903769
1148.15362149688	7.89194411094632
1318.25673855641	6.88407943269466
1513.56124843621	6.00274239730442
1737.80082874938	5.23278532549615
1995.26231496888	4.5606232939704
2290.86765276777	3.97416140045133
2630.26799189538	3.46268965611084
3019.95172040202	3.01676287995329
3467.36850452532	2.62807672312521
3981.07170553497	2.28934664018435
4570.88189614874	1.99419372613342
5248.07460249773	1.73703943736022
6025.59586074357	1.51301000117062
6918.30970918935	1.31785056912597
7943.28234724282	1.14784872760102
9120.10839355909	0.999766737581145
10471.285480509	0.870781762235999
12022.6443461741	0.758433306927038
13803.8426460288	0.66057711023347
15848.9319246112	0.575344765668983
18197.0085860998	0.501108408811034
20892.9613085404	0.436449865303385
23988.3291901949	0.380133716579474
27542.2870333816	0.331083799242584
31622.7766016838	0.288362709226112
36307.8054770101	0.251153932387303
41686.9383470335	0.218746268828001
47863.0092322638	0.190520259064866
54954.0873857625	0.165936356444791
63095.7344480193	0.144524622265243
72443.5960074989	0.125875748297193
83176.377110267	0.109633236208421
95499.2586021434	0.095486585120992
109647.819614319	0.0831653575578588
125892.541179417	0.0724340106597063
144543.977074593	0.0630873940731629
165958.690743756	0.0549468285838497
190546.071796325	0.0478566906220129
218776.162394955	0.0416814374076908
251188.643150958	0.0363030159052377
288403.15031266	0.0316186060805604
331131.12148259	0.0275386553362318
380189.396320561	0.0239851665601095
436515.832240166	0.0208902070674919
501187.233627273	0.0181946099370719
575439.937337156	0.0158468429172422
660693.448007596	0.0138020232816362
758577.575029182	0.012021059802167
870963.58995608	0.0104699054374606
1000000	0.00911890645081554
